Entry	Entry Name	Protein names	Gene Names	Organism	Length
P00549	KPYK1_YEAST	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	CDC19 PYK1 YAL038W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500
P00560	PGK_YEAST	Phosphoglycerate kinase (EC 2.7.2.3)	PGK1 YCR012W YCR12W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	416
P00572	KTHY_YEAST	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	CDC8 YJR057W J1715	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216
P00635	PPA5_YEAST	Repressible acid phosphatase (EC 3.1.3.2) (P60)	PHO5 YBR093C YBR0814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	467
P00724	INV2_YEAST	Invertase 2 (EC 3.2.1.26) (Beta-fructofuranosidase 2) (Saccharase)	SUC2 YIL162W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	532
P00729	CBPY_YEAST	Carboxypeptidase Y (CPD-Y) (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)	PRC1 YMR297W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	532
P00812	ARGI_YEAST	Arginase (EC 3.5.3.1)	CAR1 YPL111W LPH15W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333
P00815	HIS2_YEAST	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	HIS4 YCL030C YCL183 YCL30C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	799
P00817	IPYR_YEAST	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	IPP1 PPA PPA1 YBR011C YBR0202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	287
P00830	ATPB_YEAST	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)	ATP2 YJR121W J2041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511
P00854	ATP6_YEAST	ATP synthase subunit a (F-ATPase protein 6)	ATP6 OLI2 OLI4 PHO1 Q0085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	259
P00890	CISY1_YEAST	Citrate synthase, mitochondrial (EC 2.3.3.1)	CIT1 GLU3 LYS6 YNR001C N2019	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	479
P00924	ENO1_YEAST	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	ENO1 ENOA HSP48 YGR254W G9160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437
P00925	ENO2_YEAST	Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2)	ENO2 ENOB YHR174W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437
P00927	THDH_YEAST	Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)	ILV1 YER086W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	576
P00937	TRPG_YEAST	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]	TRP3 YKL211C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	484
P00942	TPIS_YEAST	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	TPI1 YDR050C YD9609.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	248
P00950	PMG1_YEAST	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	GPM1 GPM YKL152C YKL607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	247
P00958	SYMC_YEAST	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MES1 YGR264C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	751
P01094	IPA3_YEAST	Protease A inhibitor 3 (Proteinase inhibitor I(A)3) (Proteinase yscA-inhibitor) (Saccharopepsin inhibitor)	PAI3 YMR174C YM8010.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	68
P01119	RAS1_YEAST	Ras-like protein 1 (EC 3.6.5.2)	RAS1 YOR101W YOR3205W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309
P01120	RAS2_YEAST	Ras-like protein 2 (EC 3.6.5.2)	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	322
P01123	YPT1_YEAST	GTP-binding protein YPT1 (Protein YP2) (Rab GTPase YPT1) (Transport GTPase YPT1)	YPT1 YP2 YFL038C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206
P02293	H2B1_YEAST	Histone H2B.1 (Suppressor of Ty protein 12)	HTB1 H2B1 SPT12 YDR224C YD9934.09C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131
P02294	H2B2_YEAST	Histone H2B.2	HTB2 H2B2 YBL002W YBL0104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131
P02309	H4_YEAST	Histone H4	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103
P02400	RLA4_YEAST	Large ribosomal subunit protein P2B (P2B) (60S acidic ribosomal protein P2-beta) (L12eIA) (L45) (YL44C) (YP2beta) (YPA1)	RPP2B L12EIA RPL45 RPLA4 YDR382W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110
P02406	RL28_YEAST	Large ribosomal subunit protein uL15 (60S ribosomal protein L28) (L27a) (L29) (RP44) (RP62) (YL24)	RPL28 CYH2 YGL103W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	149
P02557	TBB_YEAST	Tubulin beta chain (Beta-tubulin)	TUB2 YFL037W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
P02829	HSP82_YEAST	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	HSP82 HSP90 YPL240C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709
P02992	EFTU_YEAST	Elongation factor Tu, mitochondrial (tufM)	TUF1 TUFM YOR187W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437
P02994	EF1A_YEAST	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	458
P03069	GCN4_YEAST	General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)	GCN4 AAS101 AAS3 ARG9 YEL009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281
P03870	FLP_YEAST	Site-specific recombinase Flp (FLP) (Protein Able)	FLP1 R0010W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423
P03871	REP1_YEAST	Partitioning protein REP1 (R1) (Protein Baker) (Trans-acting factor B)	REP1 R0020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	373
P03873	MBI2_YEAST	Cytochrome b mRNA maturase bI2	BI2 Q0110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423
P03877	SCE3_YEAST	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	AI3 ENS3 I-SCEIII Q0060	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415
P03878	SCE2_YEAST	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]	AI4 ENS2 I-SCEII Q0065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	556
P03879	MBI4_YEAST	Intron-encoded RNA maturase bI4 (RNA maturase SCbI4) [Cleaved into: Truncated, nonfunctional cytochrome b; RNA maturase bI4 (EC 3.1.-.-)]	BI4 SCBI4 Q0120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	638
P03962	PYRF_YEAST	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)	URA3 YEL021W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	267
P03965	CARB_YEAST	Carbamoyl phosphate synthase arginine-specific large chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.4.16) (EC 6.3.5.5) (Ammonium-dependent carbamoyl phosphate synthetase) (Arginine-specific carbamoyl phosphate synthetase, ammonia chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)	CPA2 YJR109C J2002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1118
P04037	COX4_YEAST	Cytochrome c oxidase subunit 4, mitochondrial (Cytochrome c oxidase polypeptide IV)	COX4 YGL187C G1362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	155
P04039	COX8_YEAST	Cytochrome c oxidase subunit 8, mitochondrial (Cytochrome c oxidase polypeptide VIII)	COX8 YLR395C L8084.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	78
P04050	RPB1_YEAST	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit 1) (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit B220)	RPO21 RPB1 RPB220 SUA8 YDL140C D2150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1733
P04051	RPC1_YEAST	DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase III subunit C160)	RPO31 RPC1 RPC160 YOR116C O3254 YOR3254C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1460
P04147	PABP_YEAST	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)	PAB1 YER165W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	577
P04385	GAL1_YEAST	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GAL1 YBR020W YBR0302	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	528
P04386	GAL4_YEAST	Regulatory protein GAL4	GAL4 YPL248C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	881
P04387	GAL80_YEAST	Galactose/lactose metabolism regulatory protein GAL80	GAL80 YML051W YM9827.01 YM9958.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	435
P04397	GAL10_YEAST	Bifunctional protein GAL10 [Includes: UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase); Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)]	GAL10 YBR019C YBR0301	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	699
P04449	RL24A_YEAST	Large ribosomal subunit protein eL24A (60S ribosomal protein L24-A) (L30) (RP29) (YL21)	RPL24A RP29 RPL30A YGL031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	155
P04456	RL25_YEAST	Large ribosomal subunit protein uL23 (60S ribosomal protein L25) (RP16L) (YL25) (YP42')	RPL25 YOL127W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	142
P04710	ADT1_YEAST	ADP,ATP carrier protein 1 (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1)	AAC1 YMR056C YM9796.09C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309
P04786	TOP1_YEAST	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Maintenance of killer protein 1)	TOP1 MAK1 YOL006C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	769
P04802	SYDC_YEAST	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	DPS1 APS APS1 YLL018C L1295	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	557
P04806	HXKA_YEAST	Hexokinase-1 (EC 2.7.1.1) (Hexokinase PI) (Hexokinase-A)	HXK1 HKA YFR053C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	485
P04807	HXKB_YEAST	Hexokinase-2 (EC 2.7.1.1) (Hexokinase PII) (Hexokinase-B)	HXK2 HEX1 HKB YGL253W NRB486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	486
P04817	CAN1_YEAST	Arginine permease CAN1 (Canavanine resistance protein 1)	CAN1 YEL063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	590
P04819	DNLI1_YEAST	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	CDC9 YDL164C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	755
P04821	CDC25_YEAST	Cell division control protein 25	CDC25 CTN1 YLR310C L2142.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1589
P04840	VDAC1_YEAST	Non-selective voltage-gated ion channel 1 (Outer mitochondrial membrane protein porin 1) (Voltage-dependent anion-selective channel protein 1) (VDAC-1)	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	283
P04911	H2A1_YEAST	Histone H2A.1	HTA1 H2A1 SPT11 YDR225W YD9934.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132
P04912	H2A2_YEAST	Histone H2A.2	HTA2 H2A2 YBL003C YBL0103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132
P05030	PMA1_YEAST	Plasma membrane ATPase 1 (EC 7.1.2.1) (Proton pump 1)	PMA1 YGL008C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	918
P05066	PHR_YEAST	Deoxyribodipyrimidine photo-lyase, mitochondrial (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	PHR1 YOR386W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	565
P05150	OTC_YEAST	Ornithine carbamoyltransferase (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)	ARG3 YJL088W J0924	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	338
P05317	RLA0_YEAST	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (A0) (L10e)	RPP0 L10E RPA0 RPL10E RPLA0 YLR340W L8300.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312
P05318	RLA1_YEAST	Large ribosomal subunit protein P1A (P1A) (60S acidic ribosomal protein P1-alpha) (A1) (L12eIIA) (YP1alpha)	RPP1A L12EIIA RPA1 RPLA1 YDL081C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106
P05319	RLA2_YEAST	Large ribosomal subunit protein P2A (P2A) (60S acidic ribosomal protein P2-alpha) (A2) (L12eIB) (L44) (YP2alpha)	RPP2A L12EIB RPA2 RPL44 RPLA2 YOL039W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	106
P05373	HEM2_YEAST	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	HEM2 YGL040C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	342
P05374	CHO2_YEAST	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17) (Choline-requiring protein 2)	CHO2 PEM1 YGR157W G6673	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	869
P05375	PLMT_YEAST	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.17) (EC 2.1.1.71) (Overproducer of inositol protein 3) (Phospholipid methyltransferase) (PLMT)	OPI3 PEM2 YJR073C J1824	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206
P05453	ERF3_YEAST	Eukaryotic peptide chain release factor GTP-binding subunit (EC 3.6.5.-) (ERF-3) (ERF3) (ERF2) (G1 to S phase transition protein 1) (Omnipotent suppressor protein 2) (PSI no more protein 2) (Polypeptide release factor 3) (Translation release factor 3)	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	685
P05626	ATPF_YEAST	ATP synthase subunit 4, mitochondrial	ATP4 YPL078C LPF7C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
P05737	RL7A_YEAST	Large ribosomal subunit protein uL30A (60S ribosomal protein L7-A) (L6) (RP11) (YL8)	RPL7A RPL6A RPL8A YL8A YGL076C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
P05739	RL6B_YEAST	Large ribosomal subunit protein eL6B (60S ribosomal protein L6-B) (L17) (RP18) (YL16)	RPL6B RPL16B RPL17B YL16B YLR448W L9324.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	176
P05740	RL17A_YEAST	Large ribosomal subunit protein uL22A (60S ribosomal protein L17-A) (L20A) (YL17)	RPL17A RPL17 RPL20A YKL180W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	184
